Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Total Time (hrs/day),Calls Duration (hrs/day),Apps Installed Category
53,Male,Mumbai,Vivo,Android,3.7,23.9,104,3.9,469,5.2,4.1,803,Education,17.531666666666666,0.6316666666666666,Low
60,Other,Delhi,Realme,iOS,9.2,28.1,169,2.8,4997,5.1,0.4,1526,Gaming,17.72833333333333,0.2283333333333333,High
37,Female,Ahmedabad,Nokia,Android,4.5,12.3,96,3.0,2381,1.7,2.9,1619,Entertainment,13.213333333333331,1.1133333333333333,Low
32,Male,Pune,Samsung,Android,11.0,25.6,146,5.2,1185,3.2,0.3,1560,Entertainment,22.30333333333333,2.603333333333333,Medium
16,Male,Mumbai,Xiaomi,iOS,2.2,2.5,86,5.5,106,3.4,2.3,742,Social Media,17.336666666666666,3.9366666666666665,Low
21,Male,Jaipur,Oppo,iOS,5.4,10.6,25,4.2,6285,0.6,4.8,1749,Entertainment,18.51,3.51,Very Low
57,Female,Lucknow,Apple,iOS,6.0,35.2,123,0.8,2653,2.9,2.3,1073,Social Media,14.575,2.575,Medium
56,Other,Kolkata,Realme,iOS,3.1,43.5,188,2.3,9767,5.2,5.0,1136,Entertainment,17.688333333333336,2.0883333333333334,High
46,Female,Kolkata,Oppo,Android,5.3,46.4,194,3.7,2870,6.1,2.8,1253,Entertainment,18.255,0.355,High
44,Other,Kolkata,Apple,iOS,9.9,10.6,84,4.8,9193,7.6,0.4,168,Education,25.70333333333333,3.003333333333333,Low
55,Other,Lucknow,Nokia,Android,1.6,23.7,27,3.1,9330,1.2,2.3,1098,Work,11.4,3.2,Very Low
41,Female,Delhi,Oppo,Android,7.5,23.5,187,0.9,643,3.5,2.7,151,Social Media,16.015,1.415,High
53,Male,Bangalore,Realme,iOS,10.5,1.4,137,4.5,7854,7.2,1.4,240,Education,24.161666666666665,0.5616666666666668,Medium
35,Male,Jaipur,Realme,Android,10.3,32.4,124,5.2,3347,3.8,4.5,972,Social Media,27.918333333333333,4.118333333333333,Medium
33,Female,Jaipur,Samsung,iOS,1.7,33.2,121,3.0,3185,4.2,0.5,1046,Entertainment,12.88,3.48,Medium
52,Male,Bangalore,Google Pixel,Android,5.1,28.5,161,4.6,6175,4.4,4.3,1769,Work,21.22,2.82,High
46,Other,Mumbai,Apple,Android,3.1,23.6,183,2.5,6242,6.2,0.4,1679,Education,14.765,2.565,High
54,Male,Kolkata,Apple,Android,11.6,12.6,62,4.9,4642,0.9,4.1,1360,Entertainment,25.006666666666668,3.506666666666667,Low
50,Female,Chennai,Google Pixel,Android,5.3,5.2,188,4.6,1120,1.0,0.8,1639,Work,15.626666666666663,3.9266666666666663,High
